date,kaf,,kaf
5/31/62,197.1055,,936.32959
6/30/62,663.8435,,993.130249
7/31/62,740.5915,,1253.148804
8/31/62,487.6085683,,958.775269
9/30/62,597.1355,,384.695953
10/31/62,608.2970217,,608.29657
11/30/62,519.996552,,403.831925
12/31/62,35.169438,,430.152252
1/31/63,518.782587,,352.586567
2/28/63,258.1426306,,316.215166
3/31/63,373.0110828,,522.076853
4/30/63,3294.132481,,329.883484
5/31/63,444.3915,,471.747955
6/30/63,622.8175,,1048.136963
7/31/63,1286.13,,1337.329834
8/31/63,623.5212346,,892.6073
9/30/63,1392.307186,,1392.257812
10/31/63,630.6646557,,185.784515
11/30/63,51.56814557,,32.5710585
12/31/63,413.7632358,,369.8290095
1/31/64,328.918587,,538.700625
2/29/64,395.8496473,,285.620714
3/31/64,477.7665,,330.460734
4/30/64,454.270592,,622.165283
5/31/64,566.0835,,973.462646
6/30/64,688.2985,,1122.880371
7/31/64,983.2845096,,1044.263916
8/31/64,722.1525,,925.821167
9/30/64,264.8668598,,473.311218
10/31/64,521.2566022,,521.276978
11/30/64,519.7399625,,403.633805
12/31/64,300.469438,,300.469788
1/31/65,250.1037413,,250.295563
2/28/65,277.7206306,,142.848759
3/31/65,214.5900828,,351.805707
4/30/65,118.6559119,,312.218628
5/31/65,403.3515,,430.708527
6/30/65,445.3155,,962.492615
7/31/65,502.9355,,1221.484375
8/31/65,569.3025,,804.357727
9/30/65,136.6217682,,1345.323486
10/31/65,406.2003326,,220.312515
11/30/65,653.6439995,,12.523507
12/31/65,40.758438,,349.307953
1/31/66,423.839587,,304.851124
2/28/66,1174.474281,,342.041399
3/31/66,368.9715294,,520.172739
4/30/66,923.5300094,,872.06488
5/31/66,977.2077864,,971.183838
6/30/66,1023.03963,,1074.239136
7/31/66,753.0005,,1257.669556
8/31/66,844.8206274,,896.020203
9/30/66,474.0486,,265.72467
10/31/66,526.9043097,,334.296051
11/30/66,82.74978924,,332.847611
12/31/66,67.969438,,67.969795
1/31/67,342.270514,,131.410527
2/28/67,436.7446306,,287.302568
3/31/67,147.3716414,,249.47139
4/30/67,184.5392,,184.539215
5/31/67,51.1943,,102.39489
6/30/67,104.0766679,,155.934708
7/31/67,0,,51.200001
8/31/67,378.1735,,789.235483
9/30/67,501.0148598,,1266.86499
10/31/67,263.8190217,,284.065613
11/30/67,12.68957807,,40.347279
12/31/67,185.3117571,,343.8279749
1/31/68,551.082587,,402.984103
2/29/68,306.3835237,,366.791613
3/31/68,597.2862036,,316.676371
4/30/68,147.5502394,,202.800919
5/31/68,291.7405,,804.304626
6/30/68,683.5575,,1002.883057
7/31/68,1048.13,,1314.589966
8/31/68,674.9465,,910.000305
9/30/68,585.5398598,,377.357452
10/31/68,543.3766455,,543.490967
11/30/68,215.0046699,,321.636796
12/31/68,1562.514199,,246.594072
1/31/69,318.5037413,,318.694244
2/28/69,204.6117404,,204.612228
3/31/69,122.2136414,,122.214005
4/30/69,2516.327321,,71.255259
5/31/69,2613.876788,,230.893694
6/30/69,70.8307535,,122.159042
7/31/69,275.6615,,731.473154
8/31/69,339.0845683,,810.250977
9/30/69,448.0167338,,1328.205078
10/31/69,438.4010217,,220.624146
11/30/69,432.806464,,317.340165
12/31/69,74.12223373,,297.5416503
1/31/70,278.6037413,,278.604095
2/28/70,102.25815,,102.258636
3/31/70,261.5142036,,165.0474138
4/30/70,613.7684395,,171.203677
5/31/70,194.4055,,622.170959
6/30/70,436.6385,,941.979065
7/31/70,722.0155,,1385.064209
8/31/70,455.2615,,869.915894
9/30/70,1447.169861,,1411.109497
10/31/70,507.093526,,302.268951
11/30/70,197.009318,,2.602528
12/31/70,157.851389,,318.744036
1/31/71,520.436587,,342.35071
2/28/71,493.8266306,,357.468431
3/31/71,2788.110248,,452.363108
4/30/71,355.8025,,332.002502
5/31/71,1461.929359,,1530.328613
6/30/71,670.0985,,986.709595
7/31/71,701.0825,,1197.654541
8/31/71,672.9895,,907.950012
9/30/71,1184.847259,,1393.187378
10/31/71,436.4287288,,206.500336
11/30/71,100.8010782,,144.274155
12/31/71,45.113438,,395.020416
1/31/72,587.932587,,392.312458
2/29/72,316.6335237,,378.385179
3/31/72,624.9447918,,561.815134
4/30/72,491.2660994,,823.599548
5/31/72,898.6787864,,949.882996
6/30/72,688.0855,,1101.140991
7/31/72,750.3335,,1260.351929
8/31/72,678.9825,,885.035583
9/30/72,532.9501729,,298.086884
10/31/72,550.1154991,,550.27771
11/30/72,429.7618814,,341.984818
12/31/72,90.78439489,,345.477495
1/31/73,234.2488761,,272.192294
2/28/73,245.0218334,,134.828035
3/31/73,3271.489951,,403.622629
4/30/73,200.4115,,408.732269
5/31/73,982.7954215,,1012.100403
6/30/73,392.6825,,1175.444336
7/31/73,1183.153,,1234.353271
8/31/73,434.4455,,869.947144
9/30/73,528.3229136,,971.811218
10/31/73,310.0010217,,310.001312
11/30/73,435.7777795,,320.420975
12/31/73,118.42265,,272.927643
1/31/74,165.1952,,165.004089
2/28/74,386.4423565,,177.685492
3/31/74,196.9082036,,175.1715189
4/30/74,355.1765,,313.1031791
5/31/74,164.2482172,,430.708496
6/30/74,757.8044015,,1017.222229
7/31/74,597.4625,,1094.439575
8/31/74,379.6515,,829.87738
9/30/74,525.9538598,,1432.936646
10/31/74,478.2991517,,260.000488
11/30/74,65.91599686,,61.669343
12/31/74,537.5421285,,502.212542
1/31/75,361.957587,,751.192629
2/28/75,336.9176306,,301.085314
3/31/75,156.6716414,,187.506866
4/30/75,147.4825,,291.242502
5/31/75,184.6422172,,451.101685
6/30/75,385.5005,,1105.428589
7/31/75,122.3749904,,1075.786865
8/31/75,459.9909777,,826.097961
9/30/75,379.9383288,,1324.465942
10/31/75,128.8749873,,126.514549
11/30/75,698.9377725,,102.679505
12/31/75,435.7169349,,400.390367
1/31/76,383.6590146,,495.037783
2/29/76,87.35324985,,575.674822
3/31/76,740.83152,,311.116312
4/30/76,83.81434895,,83.822556
5/31/76,0,,328.812561
6/30/76,0,,402.896484
7/31/76,681.5339904,,932.157349
8/31/76,234.9928726,,624.074402
9/30/76,362.1946,,153.870453
10/31/76,95.07301415,,132.596863
11/30/76,237.5716,,0
12/31/76,274.6406,,19.433189
1/31/77,276.2276459,,417.453646
2/28/77,114.484487,,78.648767
3/31/77,175.4403925,,0
4/30/77,384.6073678,,403.101542
5/31/77,593.5377764,,586.068359
6/30/77,730.0595,,891.276733
7/31/77,933.617978,,1019.573914
8/31/77,825.7600179,,892.349976
9/30/77,498.1831675,,291.187469
10/31/77,339.2326856,,630.107483
11/30/77,19.12557807,,206.640594
12/31/77,137.6751462,,325.875857
1/31/78,383.856219,,275.983615
2/28/78,2865.940419,,55.482225
3/31/78,4335.961222,,100.512003
4/30/78,2125.403648,,127.63932
