date,kaf,kaf,kaf
9/30/72,532.9501729,532.9501729,0
10/31/72,550.1154991,550.1154991,0
11/30/72,367.5763034,401.4363034,-33.86
12/31/72,16.08495689,51.41495689,-35.33
1/31/73,231.8736761,268.3136761,-36.44
2/28/73,38.53468344,74.36468344,-35.83
3/31/73,3088.85831,3129.61831,-40.76
4/30/73,353.9833,353.9833,0
5/31/73,994.7128388,994.7128388,0
6/30/73,416.6765191,416.6765191,0
7/31/73,1234.353,1234.353,0
8/31/73,697.1225683,697.1225683,0
9/30/73,528.3229136,528.3229136,0
10/31/73,525.2610217,525.2610217,0
11/30/73,347.2922015,381.1522015,-33.86
12/31/73,0,0,0
1/31/74,10.77438696,82.54438696,-71.77
2/28/74,292.200616,328.030616,-35.83
3/31/74,0,21.73656212,-21.73656212
4/30/74,213.7631502,232.7865881,-19.0234379
5/31/74,403.3659172,403.3659172,0
6/30/74,968.2476315,968.2476315,0
7/31/74,503.6139904,503.6139904,0
8/31/74,537.9021334,537.9021334,0
9/30/74,525.9538598,525.9538598,0
10/31/74,478.2991517,478.2991517,0
11/30/74,10.6454188,44.5054188,-33.86
12/31/74,474.1426905,509.4726905,-35.33
1/31/75,508.9138456,545.3538456,-36.44
2/28/75,200.4758902,236.3058902,-35.83
3/31/75,0,31.56505498,-31.56505498
4/30/75,263.367355,272.5623,-9.194945
5/31/75,393.8189172,393.8189172,0
6/30/75,436.7005,436.7005,0
7/31/75,388.8349904,388.8349904,0
8/31/75,726.4509777,726.4509777,0
9/30/75,379.9383288,379.9383288,0
10/31/75,344.1349873,344.1349873,0
11/30/75,657.0171945,690.8771945,-33.86
12/31/75,397.2954969,432.6254969,-35.33
1/31/76,345.1152733,381.5552733,-36.44
2/29/76,230.4705094,266.3005094,-35.83
3/31/76,915.33152,956.09152,-40.76
4/30/76,292.1343489,292.1343489,0
5/31/76,227.9697906,227.9697906,0
6/30/76,229.2525123,229.2525123,0
7/31/76,732.7339904,732.7339904,0
8/31/76,501.4528726,501.4528726,0
9/30/76,362.1946,362.1946,0
10/31/76,310.3330141,310.3330141,0
11/30/76,203.7116,237.5716,-33.86
12/31/76,239.3106,274.6406,-35.33
1/31/77,237.1859046,273.6259046,-36.44
2/28/77,74.6597466,110.4897466,-35.83
3/31/77,134.6803925,175.4403925,-40.76
4/30/77,384.6073678,384.6073678,0
5/31/77,644.7377764,644.7377764,0
6/30/77,781.2595,781.2595,0
7/31/77,984.817978,984.817978,0
8/31/77,825.7600179,825.7600179,0
9/30/77,498.1831675,498.1831675,0
10/31/77,554.4926856,554.4926856,0
11/30/77,110.3214193,144.1814193,-33.86
12/31/77,65.07570821,100.4057082,-35.32999999
1/31/78,195.4124777,231.8524777,-36.44
2/28/78,2738.798678,2774.628678,-35.83
3/31/78,4369.189581,4409.949581,-40.76
4/30/78,1997.764448,1997.764448,0
5/31/78,922.3399549,922.3399549,0
6/30/78,281.5535,281.5535,0
7/31/78,444.2259904,444.2259904,0
8/31/78,499.1835,499.1835,0
9/30/78,215.2363926,215.2363926,0
10/31/78,422.1218806,422.1218806,0
11/30/78,303.4384748,337.2984748,-33.86
12/31/78,108.2456259,143.5756259,-35.33
1/31/79,315.7928456,352.2328456,-36.44
2/28/79,0,35.7837833,-35.7837833
3/31/79,0,35.05556212,-35.05556212
4/30/79,667.6540602,673.3584981,-5.7044379
5/31/79,271.0443275,271.0443275,0
6/30/79,442.0182121,442.0182121,0
7/31/79,746.0695,746.0695,0
8/31/79,700.9145683,700.9145683,0
9/30/79,464.6348598,464.6348598,0
10/31/79,491.8280217,491.8280217,0
11/30/79,319.2449815,353.1049815,-33.86
12/31/79,0,34.44056665,-34.44056665
1/31/80,0,0,0
2/29/80,0,0,0
3/31/80,0,0,0
4/30/80,265.5301548,266.4195881,-0.8894333
5/31/80,309.9134176,346.3534176,-36.44
6/30/80,500.7976725,536.6276725,-35.83
7/31/80,184.522082,225.282082,-40.76
8/31/80,597.8361274,597.8361274,0
9/30/80,392.7033288,392.7033288,0
10/31/80,468.1217432,468.1217432,0
11/30/80,12.87353684,46.73353684,-33.86
12/31/80,126.6316129,161.9616129,-35.33
1/31/81,1103.339314,1139.779314,-36.44
2/28/81,436.5877833,472.4177833,-35.83
3/31/81,449.6859694,490.4459694,-40.76
4/30/81,364.9605504,364.9605504,0
5/31/81,540.0525,540.0525,0
6/30/81,934.4752038,934.4752038,0
7/31/81,772.5949904,772.5949904,0
8/31/81,763.2325683,763.2325683,0
9/30/81,588.4788598,588.4788598,0
10/31/81,549.8127183,549.8127183,0
11/30/81,1930.027895,1963.887895,-33.86
12/31/81,0,0,0
1/31/82,53.33538696,125.105387,-71.77000004
2/28/82,0,0,0
